image,image_path,xmin,ymin,xmax,ymax,label,confidence,x_size,y_size
2b8f6d6d9c1bfe38.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2b8f6d6d9c1bfe38.jpg,599,263,672,334,0,0.2897755801677704,1024,768
2b8f6d6d9c1bfe38.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2b8f6d6d9c1bfe38.jpg,337,285,376,339,0,0.40791699290275574,1024,768
2b8f6d6d9c1bfe38.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2b8f6d6d9c1bfe38.jpg,454,275,591,448,0,0.7850373387336731,1024,768
2b930250623e3c86.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2b930250623e3c86.jpg,286,228,737,797,0,0.9105969667434692,1024,1024
2b95c8153c8ffd15.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2b95c8153c8ffd15.jpg,629,260,658,293,0,0.5859459638595581,1024,682
2b95c8153c8ffd15.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2b95c8153c8ffd15.jpg,287,216,309,250,0,0.8059092164039612,1024,682
2b9b05cb2195e0aa.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2b9b05cb2195e0aa.jpg,959,317,1024,381,0,0.42985671758651733,1024,768
2b9b05cb2195e0aa.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2b9b05cb2195e0aa.jpg,614,230,746,398,0,0.7144283056259155,1024,768
2b9ccdcfdcb6ff40.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2b9ccdcfdcb6ff40.jpg,104,205,538,663,0,0.8970295786857605,679,1024
2ba00b4217400b86.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2ba00b4217400b86.jpg,349,51,542,293,0,0.5964804887771606,686,1024
2ba00b4217400b86.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2ba00b4217400b86.jpg,145,27,317,257,0,0.6970466375350952,686,1024
2ba03e5e7f66ad45.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2ba03e5e7f66ad45.jpg,213,127,369,284,0,0.7985150814056396,1024,768
